age,date,percentN
17-29,05/01/2021,16.84295504
17-29,19/01/2021,18.69963003
17-29,02/02/2021,19.35272642
17-29,16/02/2021,19.8468243
17-29,02/03/2021,20.93199438
17-29,17/03/2021,21.70796576
17-29,31/03/2021,21.82029959
17-29,09/04/2021,20.9110935
17-29,23/04/2021,20.92956405
17-29,07/05/2021,21.39218289
17-29,21/05/2021,21.53755296
17-29,05/06/2021,21.59313563
17-29,18/06/2021,22.36673239
17-29,02/07/2021,23.73177639
17-29,14/07/2021,25.13254684
17-29,29/07/2021,26.12330657
17-29,10/08/2021,26.85809726
17-29,26/08/2021,27.96376486
17-29,10/09/2021,28.57265919
17-29,23/09/2021,29.56007711
17-29,06/10/2021,30.99787907
17-29,21/10/2021,31.3354721
17-29,03/11/2021,32.08543371
17-29,17/11/2021,33.0828875
17-29,01/12/2021,34.26313426
17-29,14/12/2021,35.94568076
17-29,26/12/2021,37.9363497
17-29,01/01/2022,39.62549791
17-29,10/01/2022,42.78476036
17-29,14/01/2022,44.77616248
17-29,23/01/2022,47.57375881
17-29,30/01/2022,49.82168084
17-29,06/02/2022,51.47193645
17-29,15/02/2022,53.39290443
17-29,19/02/2022,55.27516546
17-29,27/02/2022,58.07519111
17-29,05/03/2022,60.44297958
17-29,16/03/2022,64.25733249
17-29,09/03/2022,61.98035962
17-29,29/03/2022,67.30346928
17-29,23/03/2022,64.90486324
17-29,08/04/2022,69.41405602
17-29,17/04/2022,71.32291265
17-29,27/04/2022,73.02588188
17-29,10/05/2022,74.83486345
17-29,24/05/2022,76.13487395
17-29,09/06/2022,77.74303508
17-29,22/06/2022,79.14514359
17-29,07/07/2022,80.61221516
17-29,19/07/2022,82.21245192
17-29,02/08/2022,84.15516972
17-29,17/08/2022,85.62152242
17-29,30/08/2022,86.293676
17-29,14/09/2022,87.26961988
17-29,29/09/2022,88.3539685
17-29,13/10/2022,88.24645665
17-29,28/10/2022,88.80246316
17-29,11/11/2022,89.17384555
17-29,26/11/2022,89.38933529
17-29,05/12/2022,89.02313805
30-39,02/01/2021,12.43695945
30-39,12/01/2021,13.31559321
30-39,20/01/2021,13.98258527
30-39,13/02/2021,15.26526229
30-39,24/02/2021,16.54793932
30-39,16/03/2021,17.26623846
30-39,27/03/2021,17.40616686
30-39,03/04/2021,17.46213822
30-39,10/04/2021,17.75365573
30-39,18/04/2021,17.83294849
30-39,26/04/2021,18.12679813
30-39,03/05/2021,18.22474802
30-39,11/05/2021,18.2177516
30-39,19/05/2021,17.96658011
30-39,26/05/2021,17.79726675
30-39,03/06/2021,17.91690553
30-39,10/06/2021,18.28211866
30-39,18/06/2021,18.35768
30-39,25/06/2021,18.3926621
30-39,03/07/2021,18.5675726
30-39,10/07/2021,19.06431843
30-39,18/07/2021,19.38265555
30-39,25/07/2021,19.52888073
30-39,02/08/2021,19.92907596
30-39,10/08/2021,20.52167275
30-39,17/08/2021,21.26819078
30-39,25/08/2021,21.89157182
30-39,01/09/2021,22.02380416
30-39,09/09/2021,22.02380416
30-39,17/09/2021,22.72274653
30-39,24/09/2021,23.16142207
30-39,02/10/2021,23.61898795
30-39,09/10/2021,23.80789129
30-39,17/10/2021,24.22347865
30-39,27/10/2021,23.95326136
30-39,03/11/2021,24.19969082
30-39,10/11/2021,24.31862997
30-39,18/11/2021,24.82936864
30-39,26/11/2021,25.99699342
30-39,02/12/2021,27.46352082
30-39,09/12/2021,28.33317585
30-39,17/12/2021,29.61072216
30-39,21/12/2021,30.60607954
30-39,26/12/2021,31.73483532
30-39,02/01/2022,33.55110599
30-39,08/01/2022,35.52300814
30-39,15/01/2022,37.13444751
30-39,22/01/2022,40.32620605
30-39,29/01/2022,42.51701841
30-39,05/02/2022,44.02288124
30-39,12/02/2022,45.65957713
30-39,18/02/2022,48.267117
30-39,27/02/2022,51.60065208
30-39,05/03/2022,53.63269753
30-39,12/03/2022,55.98127916
30-39,18/03/2022,58.33435017
30-39,25/03/2022,60.71820542
30-39,30/03/2022,62.2882021
30-39,02/04/2022,64.19939087
30-39,09/04/2022,65.6573671
30-39,16/04/2022,67.53862674
30-39,23/04/2022,69.20696199
30-39,30/04/2022,70.34341383
30-39,08/05/2022,71.57944806
30-39,16/05/2022,72.83180727
30-39,23/05/2022,74.48063028
30-39,31/05/2022,75.53942186
30-39,08/06/2022,76.3027313
30-39,15/06/2022,77.0786343
30-39,23/06/2022,77.73163351
30-39,30/06/2022,78.68851057
30-39,08/07/2022,79.47140999
30-39,16/07/2022,80.08149782
30-39,23/07/2022,81.07428984
30-39,30/07/2022,81.84389606
30-39,07/08/2022,82.50785633
30-39,14/08/2022,82.82269524
30-39,22/08/2022,83.41389274
30-39,30/08/2022,84.11003654
30-39,06/09/2022,84.81457605
30-39,14/09/2022,85.30642439
30-39,21/09/2022,85.72271139
30-39,29/09/2022,86.01306282
30-39,06/10/2022,86.10401629
30-39,14/10/2022,86.21595901
30-39,21/10/2022,86.57977286
30-39,29/10/2022,87.13109076
30-39,06/11/2022,87.39835401
30-39,13/11/2022,87.39135759
30-39,21/11/2022,87.5662681
30-39,28/11/2022,87.60824662
30-39,05/12/2022,87.58900646
40-49,05/01/2021,12.46902638
40-49,18/01/2021,13.48817158
40-49,03/02/2021,13.59778216
40-49,17/02/2021,13.92614748
40-49,04/03/2021,14.92278753
40-49,18/03/2021,15.28358625
40-49,01/04/2021,15.23960875
40-49,15/04/2021,15.53890006
40-49,04/05/2021,16.63955911
40-49,18/05/2021,16.70756135
40-49,03/06/2021,16.65508058
40-49,17/06/2021,16.72298701
40-49,30/06/2021,17.33509796
40-49,15/07/2021,18.03103463
40-49,29/07/2021,18.161412
40-49,14/08/2021,18.64700255
40-49,27/08/2021,19.39419964
40-49,11/09/2021,20.07530115
40-49,23/09/2021,20.83208059
40-49,05/10/2021,22.46300443
40-49,19/10/2021,23.75230862
40-49,02/11/2021,25.45767049
40-49,15/11/2021,26.77568527
40-49,24/11/2021,27.83689644
40-49,06/12/2021,30.02919554
40-49,16/12/2021,31.52494272
40-49,24/12/2021,33.6511548
40-49,31/12/2021,35.45693084
40-49,07/01/2022,37.77038045
40-49,14/01/2022,39.71629312
40-49,21/01/2022,42.17069561
40-49,30/01/2022,44.36737164
40-49,04/02/2022,45.49979222
40-49,12/02/2022,47.37494387
40-49,18/02/2022,49.87188848
40-49,25/02/2022,52.38807325
40-49,04/03/2022,55.12573359
40-49,11/03/2022,57.48813963
40-49,19/03/2022,59.43780871
40-49,25/03/2022,61.24239277
40-49,03/04/2022,63.439533
40-49,09/04/2022,64.41949825
40-49,18/04/2022,66.75945389
40-49,30/04/2022,68.51773687
40-49,11/05/2022,69.70574011
40-49,24/05/2022,71.83131919
40-49,07/06/2022,73.23585053
40-49,21/06/2022,74.20213389
40-49,06/07/2022,75.83711954
40-49,16/07/2022,77.03385721
40-49,27/07/2022,79.1217536
40-49,09/08/2022,80.62791824
40-49,23/08/2022,81.68085356
40-49,06/09/2022,83.19327229
40-49,21/09/2022,84.3207454
40-49,06/10/2022,84.80345952
40-49,20/10/2022,85.12626657
40-49,03/11/2022,85.60940825
40-49,18/11/2022,85.75228047
40-49,01/12/2022,85.97956746
60-69,05/01/2021,9.452710083
60-69,19/01/2021,9.33929443
60-69,03/02/2021,9.650801708
60-69,17/02/2021,9.907337113
60-69,03/03/2021,10.49736855
60-69,18/03/2021,10.6048691
60-69,01/04/2021,10.3874248
60-69,16/04/2021,10.92981394
60-69,30/04/2021,11.04708727
60-69,14/05/2021,11.11671831
60-69,29/05/2021,11.13369208
60-69,12/06/2021,11.15336623
60-69,27/06/2021,11.05075206
60-69,11/07/2021,10.90049561
60-69,26/07/2021,11.5528285
60-69,09/08/2021,11.69942016
60-69,23/08/2021,12.1978318
60-69,07/09/2021,12.68891387
60-69,17/09/2021,13.01031608
60-69,29/09/2021,14.89878314
60-69,13/10/2021,15.47049062
60-69,28/10/2021,15.77466831
60-69,11/11/2021,16.37202933
60-69,25/11/2021,17.52277386
60-69,10/12/2021,18.84942839
60-69,24/12/2021,19.27126518
60-69,06/01/2022,21.02191679
60-69,15/01/2022,22.30715917
60-69,23/01/2022,24.19969082
60-69,02/02/2022,26.17058238
60-69,12/02/2022,27.38006352
60-69,20/02/2022,29.00273325
60-69,26/02/2022,31.17302278
60-69,05/03/2022,32.87385252
60-69,13/03/2022,35.22604897
60-69,20/03/2022,37.9224693
60-69,28/03/2022,40.02290227
60-69,07/04/2022,41.97965219
60-69,16/04/2022,44.5333867
60-69,27/04/2022,46.82721828
60-69,06/05/2022,49.5057425
60-69,18/05/2022,52.54660763
60-69,29/05/2022,54.43542013
60-69,09/06/2022,56.01975947
60-69,19/06/2022,57.46766862
60-69,29/06/2022,59.95800551
60-69,13/07/2022,61.23274215
60-69,27/07/2022,63.21539436
60-69,10/08/2022,64.95103961
60-69,25/08/2022,67.14405085
60-69,08/09/2022,68.92513952
60-69,22/09/2022,70.21514613
60-69,06/10/2022,72.45066895
60-69,20/10/2022,73.75533473
60-69,03/11/2022,75.13696112
60-69,18/11/2022,75.99085754
60-69,01/12/2022,76.37199586
70-84,04/01/2021,4.78322563
70-84,18/01/2021,5.224164721
70-84,01/02/2021,5.435680678
70-84,16/02/2021,5.083372054
70-84,03/03/2021,5.4604791
70-84,17/03/2021,5.618248375
70-84,31/03/2021,6.026139669
70-84,14/04/2021,6.166806583
70-84,30/04/2021,6.349981864
70-84,14/05/2021,6.426942486
70-84,28/05/2021,7.088196248
70-84,12/06/2021,6.937312924
70-84,26/06/2021,7.074453279
70-84,10/07/2021,7.234421429
70-84,25/07/2021,7.746209562
70-84,08/08/2021,7.483688331
70-84,23/08/2021,7.499935573
70-84,07/09/2021,7.87299206
70-84,21/09/2021,8.392678784
70-84,05/10/2021,8.550448058
70-84,20/10/2021,9.00309803
70-84,04/11/2021,9.760552569
70-84,18/11/2021,9.591554245
70-84,03/12/2021,10.47750152
70-84,16/12/2021,10.94392339
70-84,29/12/2021,12.89444759
70-84,10/01/2022,14.40586869
70-84,24/01/2022,17.39279592
70-84,07/02/2022,19.49667129
70-84,18/02/2022,21.25108842
70-84,25/02/2022,23.15230081
70-84,04/03/2022,25.02386912
70-84,10/03/2022,27.03738701
70-84,17/03/2022,28.42552859
70-84,25/03/2022,30.44343609
70-84,06/04/2022,32.19659905
70-84,19/04/2022,33.84868706
70-84,29/04/2022,35.55721286
70-84,06/05/2022,37.1391812
70-84,12/05/2022,38.48171648
70-84,23/05/2022,40.39771529
70-84,02/06/2022,42.85564515
70-84,09/06/2022,44.09984186
70-84,17/06/2022,45.53002675
70-84,24/06/2022,47.17313602
70-84,02/07/2022,49.0894555
70-84,12/07/2022,51.09245694
70-84,26/07/2022,53.00482712
70-84,09/08/2022,54.9323869
70-84,23/08/2022,56.04156498
70-84,06/09/2022,57.76110672
70-84,20/09/2022,59.50051737
70-84,04/10/2022,61.65808702
70-84,14/10/2022,62.74996583
70-84,24/10/2022,65.04595771
70-84,08/11/2022,66.79242375
70-84,22/11/2022,67.59420941
70-84,03/12/2022,68.49315222
50-59,05/01/2021,11.47393904
50-59,20/01/2021,12.79824681
50-59,03/02/2021,14.25011505
50-59,18/02/2021,15.06131665
50-59,04/03/2021,16.03102048
50-59,18/03/2021,16.29653462
50-59,02/04/2021,16.24954814
50-59,16/04/2021,16.10083476
50-59,01/05/2021,15.84063456
50-59,15/05/2021,15.62074707
50-59,30/05/2021,15.67938373
50-59,13/06/2021,15.58930702
50-59,28/06/2021,16.01562836
50-59,12/07/2021,16.75445032
50-59,26/07/2021,16.88953647
50-59,10/08/2021,17.32853991
50-59,26/08/2021,17.61640929
50-59,10/09/2021,18.80929892
50-59,24/09/2021,19.52888073
50-59,08/10/2021,20.30415773
50-59,22/10/2021,21.04946059
50-59,06/11/2021,21.87654617
50-59,21/11/2021,22.75353078
50-59,03/12/2021,24.17070565
50-59,15/12/2021,26.0041194
50-59,29/12/2021,28.42552859
50-59,09/01/2022,30.93957556
50-59,15/01/2022,32.14426583
50-59,19/01/2022,33.27404775
50-59,27/01/2022,35.73190126
50-59,06/02/2022,37.37091818
50-59,13/02/2022,39.31545655
50-59,20/02/2022,41.01115558
50-59,27/02/2022,43.24472384
50-59,06/03/2022,45.29722087
50-59,13/03/2022,47.49893598
50-59,21/03/2022,49.71796724
50-59,27/03/2022,51.6334316
50-59,03/04/2022,53.55459675
50-59,10/04/2022,55.33039183
50-59,18/04/2022,57.04718377
50-59,28/04/2022,59.11998985
50-59,08/05/2022,60.74043849
50-59,15/05/2022,62.28392651
50-59,26/05/2022,63.93677963
50-59,09/06/2022,65.8283907
50-59,20/06/2022,67.20668547
50-59,01/07/2022,69.12807735
50-59,14/07/2022,71.08309092
50-59,28/07/2022,73.9659638
50-59,11/08/2022,75.76913766
50-59,26/08/2022,77.74918593
50-59,10/09/2022,79.15723741
50-59,24/09/2022,79.96220886
50-59,08/10/2022,80.46923276
50-59,23/10/2022,81.08797173
50-59,06/11/2022,82.1367129
50-59,21/11/2022,82.64978371
50-59,03/12/2022,82.75972746
